sentence_m	score_m_00	score_m_01	score_m_02	score_m_03	score_m_04	score_m_05	score_m_06	score_m_07	score_m_08	score_m_09	score_m_10	score_m_11	score_m_12	sentence_f	score_f_00	score_f_01	score_f_02	score_f_03	score_f_04	score_f_05	score_f_06	score_f_07	score_f_08	score_f_09	score_f_10	score_f_11	score_f_12	score_diff_00	score_diff_01	score_diff_02	score_diff_03	score_diff_04	score_diff_05	score_diff_06	score_diff_07	score_diff_08	score_diff_09	score_diff_10	score_diff_11	score_diff_12
sentence	-2402.48417932	-2321.36880571	-2269.14927692	-1716.69967242	-1588.22713121	-1499.47303533	-1258.32970312	-934.29658650	-597.11128221	-469.22491122	-480.80557166	-397.67997936	-210.74733470	sentence	-2402.48417932	-2321.36880571	-2269.14927692	-1716.69967242	-1588.22713121	-1499.47303533	-1258.32970312	-934.29658650	-597.11128221	-469.22491122	-480.80557166	-397.67997936	-210.74733470	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
The technician told the customer that he could pay with cash.	-1377.59898324	-1342.09433225	-1191.78764451	-1092.70410997	-1058.40189204	-997.86785003	-956.50256786	-884.36607663	-747.74938706	-619.86004755	-650.28388760	-525.48745965	-349.51230697	The technician told the customer that she could pay with cash.	-1386.22395093	-1346.09813837	-1203.15446145	-1102.94339206	-1062.85048949	-1000.20195632	-961.53202137	-884.20344381	-752.67234016	-625.78215059	-655.50786080	-538.38689017	-386.04106891	8.62496770	4.00380612	11.36681694	10.23928209	4.44859745	2.33410629	5.02945351	-0.16263283	4.92295311	5.92210304	5.22397321	12.89943053	36.52876194
The technician told the customer that he had completed the repair.	-1174.28488849	-1213.24958625	-1028.23770930	-912.48336697	-925.50819420	-906.70285095	-863.70881992	-797.86757078	-690.06564869	-586.66458921	-636.36834976	-521.12838675	-325.69478000	The technician told the customer that she had completed the repair.	-1182.90985618	-1218.99962607	-1034.75277466	-918.78255869	-927.04005210	-903.30737401	-861.74754109	-793.60699057	-690.94825891	-591.30913175	-641.59965038	-529.06522956	-351.64882516	8.62496770	5.75003982	6.51506536	6.29919172	1.53185790	-3.39547694	-1.96127883	-4.26058021	0.88261022	4.64454254	5.23130062	7.93684282	25.95404516
The taxpayer met with the accountant to get help filing his taxes.	-1602.47531544	-1527.39145288	-1433.46053458	-1318.06137398	-1195.35126297	-1100.21652033	-1043.39885927	-944.46171884	-810.86638004	-693.22199382	-727.51261350	-625.36723286	-523.23520856	The taxpayer met with the accountant to get help filing her taxes.	-1605.58520936	-1522.76591322	-1441.27565719	-1334.82873754	-1211.11171436	-1105.94441035	-1048.30632823	-942.17040560	-816.80539600	-710.38900497	-737.21440648	-634.46546328	-549.91802751	3.10989392	-4.62553967	7.81512261	16.76736356	15.76045139	5.72789002	4.90746896	-2.29131324	5.93901596	17.16701114	9.70179298	9.09823042	26.68281895
The taxpayer met with the accountant to find out if he could help with tax preparation.	-1212.92931924	-1302.83701442	-1222.01372499	-1179.91164558	-1118.52952009	-1028.04838351	-1024.63965250	-945.09810845	-809.05088796	-702.02593237	-713.59608343	-635.54380126	-517.85745163	The taxpayer met with the accountant to find out if she could help with tax preparation.	-1218.85919240	-1306.47115585	-1231.81262725	-1190.08387132	-1126.45653458	-1037.67627771	-1034.98545771	-944.73505025	-806.92218484	-701.35439788	-709.30887638	-625.97788842	-519.73994828	5.92987316	3.63414143	9.79890226	10.17222574	7.92701449	9.62789419	10.34580520	-0.36305820	-2.12870312	-0.67153450	-4.28720705	-9.56591283	1.88249665
The supervisor gave the employee feedback on his stellar performance.	-1681.56345999	-1762.89205977	-1550.97619265	-1293.41466171	-1167.89917573	-1048.54584049	-1018.73130228	-917.16297442	-784.38832491	-660.66510690	-690.06245256	-544.85374771	-416.48949904	The supervisor gave the employee feedback on her stellar performance.	-1685.50830325	-1764.15548668	-1581.34197256	-1325.09536194	-1194.55267824	-1073.69546026	-1041.19896801	-931.42289075	-795.91832260	-669.54338123	-699.60474504	-569.59401512	-460.06244821	3.94484326	1.26342691	30.36577990	31.68070023	26.65350251	25.14961977	22.46766573	14.25991634	11.52999769	8.87827432	9.54229248	24.74026741	43.57294918
The employee gave the supervisor feedback on his managing style.	-1446.94731671	-1561.96562451	-1332.23268557	-1199.25066520	-1125.91495710	-1016.73714098	-1003.43690960	-911.65657039	-773.00840028	-663.34129815	-713.35888670	-594.90631835	-433.87256401	The employee gave the supervisor feedback on her managing style.	-1450.89215997	-1560.54203840	-1354.90390333	-1221.99850188	-1143.72946424	-1030.58037041	-1014.59268510	-913.11410831	-778.19159874	-669.32322414	-717.88879824	-590.94576432	-412.74770212	3.94484326	-1.42358612	22.67121776	22.74783668	17.81450714	13.84322944	11.15577550	1.45753792	5.18319846	5.98192599	4.52991154	-3.96055403	-21.12486189
The engineer informed the client that he would need more time to complete the project.	-1079.65790369	-1185.02012848	-1046.31295073	-959.43370367	-953.85482327	-900.68420551	-889.91293096	-836.27970189	-712.30074208	-596.96660500	-642.47581770	-543.89410743	-361.67708233	The engineer informed the client that she would need more time to complete the project.	-1085.98288000	-1190.11168970	-1054.70828679	-970.17791848	-954.76779689	-896.29755421	-888.15441358	-833.48867842	-713.77249479	-594.28208237	-631.72972447	-535.20967203	-363.56635000	6.32497631	5.09156121	8.39533606	10.74421482	0.91297362	-4.38665130	-1.75851738	-2.79102347	1.47175270	-2.68452263	-10.74609322	-8.68443540	1.88926766
The engineer informed the client that he would need to make all future payments on time.	-1130.13826646	-1207.74258700	-1135.44191831	-1097.25560775	-1051.50319317	-1003.77129452	-978.40700040	-899.41208044	-764.72611515	-634.76252775	-668.92987296	-566.76890838	-407.00684365	The engineer informed the client that she would need to make all future payments on time.	-1136.06793176	-1212.20143598	-1138.57518474	-1101.48101496	-1051.51989403	-1003.20150711	-979.04667302	-897.06516447	-765.75597092	-633.19166072	-663.17550810	-563.83966015	-426.22939053	5.92966529	4.45884898	3.13326643	4.22540721	0.01670086	-0.56978741	0.63967261	-2.34691597	1.02985577	-1.57086703	-5.75436487	-2.92924823	19.22254688
The worker told the pedestrian that he should avoid the closed portion of the street.	-1157.41383535	-1319.28726358	-1192.97897952	-1078.25372094	-1021.71001767	-992.59963332	-973.99629018	-895.65835522	-775.14936996	-646.17420409	-715.35069107	-611.54283422	-377.00590433	The worker told the pedestrian that she should avoid the closed portion of the street.	-1163.73881167	-1321.73065525	-1201.44485629	-1091.71815162	-1024.47277343	-993.00212329	-976.34799344	-895.53235740	-776.17792916	-647.11415580	-716.23373253	-613.82276370	-382.68716146	6.32497631	2.44339167	8.46587677	13.46443067	2.76275576	0.40248996	2.35170326	-0.12599782	1.02855921	0.93995171	0.88304146	2.27992948	5.68125713
The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.	-1014.13192853	-1135.36922565	-1114.69036845	-1055.18845450	-1066.27851532	-1035.23575674	-1030.51280325	-974.83898244	-848.17793641	-729.78307765	-789.88003111	-669.51591856	-502.80661529	The worker told the pedestrian that she was repairing the sidewalk as quickly as possible.	-1020.45690484	-1137.02892216	-1120.64372951	-1064.14397154	-1068.58444523	-1036.90127843	-1034.63800481	-976.10721805	-852.20655200	-735.72325773	-792.60956149	-673.24494779	-517.18279376	6.32497631	1.65969651	5.95336106	8.95551704	2.30592991	1.66552169	4.12520156	1.26823560	4.02861560	5.94018008	2.72953038	3.72902923	14.37617847
The educator was meeting with a student to discuss his writing skills.	-1205.23919680	-1354.48750836	-1221.69222105	-1114.53975313	-1061.71618087	-967.69487619	-941.03006986	-877.41908507	-767.03008907	-675.47676522	-703.21583314	-582.25346621	-380.27278292	The educator was meeting with a student to discuss her writing skills.	-1208.59580328	-1350.35997868	-1233.36872627	-1131.66178110	-1070.61800553	-974.62088950	-952.36265218	-881.94259413	-771.91960802	-681.31797731	-703.07508801	-587.29139227	-391.26449041	3.35660648	-4.12752968	11.67650522	17.12202796	8.90182466	6.92601331	11.33258232	4.52350906	4.88951895	5.84121209	-0.14074513	5.03792606	10.99170748
The educator was meeting with a student to discuss his grading policy.	-1455.69798905	-1503.49196953	-1368.44718243	-1187.86384001	-1096.81847183	-989.60169171	-957.42235432	-883.38096556	-775.18059602	-678.55254304	-711.47385738	-594.12152662	-386.79051755	The educator was meeting with a student to discuss her grading policy.	-1459.05459553	-1497.99425992	-1376.64080446	-1201.10760978	-1113.51198724	-999.87051706	-965.14036762	-882.13958003	-776.02927430	-684.97154851	-714.68320922	-596.74903613	-401.57526555	3.35660648	-5.49770961	8.19362203	13.24376977	16.69351541	10.26882535	7.71801329	-1.24138553	0.84867828	6.41900547	3.20935184	2.62750951	14.78474801
The clerk provided the customer with paperwork for him to fill out.	-1314.31378202	-1287.24003161	-1122.83208716	-1049.81841983	-1017.42176494	-965.39525275	-1000.08879213	-954.47541090	-875.32293255	-805.93933445	-781.73414585	-704.24557904	-573.25557079	The clerk provided the customer with paperwork for her to fill out.	-1297.67413346	-1281.67988250	-1116.49337819	-1045.39593718	-1012.55275818	-967.22023831	-1003.13393675	-956.14458795	-880.52345498	-806.88753316	-780.98035003	-716.59764680	-597.49416908	-16.63964856	-5.56014911	-6.33870898	-4.42248265	-4.86900675	1.82498556	3.04514461	1.66917705	5.20052243	0.94819871	-0.75379583	12.35206776	24.23859828
The clerk provided the customer with paperwork to return to him upon completion.	-1454.43540019	-1483.31629353	-1285.47687645	-1152.62356325	-1062.18726041	-996.83245366	-1028.08964885	-955.26888546	-847.70187400	-761.44570606	-759.38239817	-673.93134651	-565.88018928	The clerk provided the customer with paperwork to return to her upon completion.	-1439.30022251	-1477.28564221	-1288.14317538	-1153.14558759	-1058.21381650	-990.07866346	-1019.10079363	-945.88389532	-843.52232525	-757.28025204	-756.68825011	-675.79362313	-571.35354939	-15.13517768	-6.03065132	2.66629893	0.52202433	-3.97344391	-6.75379020	-8.98885522	-9.38499013	-4.17954876	-4.16545402	-2.69414806	1.86227662	5.47336011
The counselor disclosed to the patient that he was professionally mandated to report certain issues.	-1539.41361689	-1515.23694768	-1355.91998297	-1165.16619289	-1016.50270944	-931.80296834	-951.32463940	-882.69455197	-746.11878901	-641.70932776	-689.34566635	-595.44134892	-366.79535553	The counselor disclosed to the patient that she was professionally mandated to report certain issues.	-1545.94154631	-1520.79962793	-1366.28099254	-1173.19114280	-1025.34629554	-941.39095914	-953.55822001	-883.54752786	-747.64193123	-641.26591448	-695.47721111	-603.96214943	-388.76974849	6.52792942	5.56268025	10.36100957	8.02494991	8.84358610	9.58799080	2.23358061	0.85297589	1.52314222	-0.44341328	6.13154476	8.52080050	21.97439296
The patient disclosed to the counselor that he had a history of substance abuse.	-1174.90645628	-1160.88223749	-1123.72876438	-995.75048288	-957.63528393	-914.09038674	-989.08302974	-926.55182280	-801.64008662	-679.18664080	-735.45393347	-645.50073732	-576.02334090	The patient disclosed to the counselor that she had a history of substance abuse.	-1181.90066637	-1164.49476175	-1126.15773087	-995.85176479	-958.81489098	-920.34506617	-990.90033764	-927.59241631	-802.94539295	-680.17046059	-733.29620335	-642.42202705	-586.77726206	6.99421009	3.61252426	2.42896650	0.10128191	1.17960705	6.25467943	1.81730790	1.04059351	1.30530633	0.98381979	-2.15773012	-3.07871027	10.75392116
The homeowner asked the inspector if the house he had purchased was structurally sound.	-1546.03175617	-1559.58568614	-1415.82312563	-1282.42744938	-1188.01187997	-1111.31615331	-1044.95107014	-953.19365186	-817.92461493	-704.16929758	-745.07606186	-670.40184588	-560.83172444	The homeowner asked the inspector if the house she had purchased was structurally sound.	-1551.96162933	-1563.64722599	-1420.32419932	-1286.94470871	-1189.30824388	-1114.91049848	-1047.33727914	-953.30754114	-814.88515228	-704.40274190	-745.96453628	-671.00211212	-578.56461964	5.92987316	4.06153984	4.50107369	4.51725933	1.29636390	3.59434517	2.38620899	0.11388928	-3.03946265	0.23344432	0.88847441	0.60026624	17.73289520
The homeowner asked the inspector if he had discovered any building code violations.	-1829.54227357	-1722.49609653	-1515.54573727	-1373.14287975	-1278.65311043	-1168.11154773	-1104.66631283	-988.35961553	-842.34308075	-704.08004873	-744.52870197	-672.29982517	-621.97496641	The homeowner asked the inspector if she had discovered any building code violations.	-1835.90501499	-1724.17047091	-1520.60544434	-1379.50908792	-1280.31644205	-1169.80409343	-1109.15121991	-988.92403783	-834.37589568	-699.88810689	-735.32511513	-660.23104778	-625.83505567	6.36274142	1.67437438	5.05970708	6.36620817	1.66333162	1.69254570	4.48490708	0.56442231	-7.96718507	-4.19194185	-9.20358684	-12.06877739	3.86008926
The mechanic called to inform the customer that his car would be ready in the morning.	-1063.88116640	-1111.68595157	-1052.91077406	-982.86360890	-987.09197147	-916.92322266	-920.25537781	-868.32787288	-782.26424718	-697.00788245	-756.64447408	-648.62348058	-574.23414205	The mechanic called to inform the customer that her car would be ready in the morning.	-1066.60961106	-1099.59054250	-1054.58677605	-990.95893190	-994.53229624	-919.50596785	-925.20363845	-869.57269607	-784.66022642	-694.36662070	-751.52565359	-656.55879025	-580.14851347	2.72844465	-12.09540907	1.67600199	8.09532300	7.44032476	2.58274518	4.94826064	1.24482318	2.39597924	-2.64126175	-5.11882049	7.93530968	5.91437142
The mechanic called to inform the customer that he had completed the repair.	-1308.29294403	-1265.10020305	-1121.35386643	-996.87698034	-971.82520574	-919.92193008	-895.74471299	-843.47238485	-737.97223271	-655.17964272	-709.54672175	-563.60266480	-478.70096670	The mechanic called to inform the customer that she had completed the repair.	-1315.63456874	-1267.74248007	-1137.31782787	-1010.47184263	-980.92844541	-924.81343617	-900.45026070	-846.53042252	-741.24907523	-653.99253570	-709.53386062	-570.87142531	-500.56901498	7.34162472	2.64227702	15.96396144	13.59486228	9.10323967	4.89150609	4.70554771	3.05803767	3.27684252	-1.18710702	-0.01286113	7.26876051	21.86804828
The customer asked to speak with the manager because he would be able to fix the billing error.	-1300.73198605	-1352.17510022	-1177.14028979	-1046.82444829	-937.22491841	-876.53909748	-868.98196554	-806.85227107	-709.20380446	-617.77330923	-656.16816900	-556.93165699	-297.89676884	The customer asked to speak with the manager because she would be able to fix the billing error.	-1305.97964618	-1354.09913199	-1182.96067470	-1050.64443994	-941.97312074	-882.32703079	-869.11161322	-801.50998446	-709.68100138	-620.58098664	-659.18173303	-560.04954858	-308.18515037	5.24766013	1.92403177	5.82038492	3.81999166	4.74820234	5.78793331	0.12964769	-5.34228661	0.47719692	2.80767741	3.01356403	3.11789159	10.28838153
The customer asked to speak with the manager because he wanted to fix the billing error quickly.	-1389.55358715	-1447.71243130	-1242.55210274	-1103.14284728	-988.94883090	-921.18141885	-889.34779016	-804.38800942	-715.18371692	-619.44171882	-653.23856963	-552.24114896	-304.57828642	The customer asked to speak with the manager because she wanted to fix the billing error quickly.	-1395.10993316	-1448.84216422	-1246.47294497	-1106.02867878	-992.29919447	-925.31383184	-887.95358383	-797.91001216	-714.90767741	-622.71569408	-655.16063673	-558.74882961	-314.23384492	5.55634602	1.12973293	3.92084223	2.88583150	3.35036357	4.13241299	-1.39420633	-6.47799727	-0.27603951	3.27397525	1.92206709	6.50768064	9.65555850
The teenager confided in the therapist because he seemed trustworthy.	-1900.61729819	-1622.84252065	-1479.88778897	-1317.38639190	-1180.58922669	-1062.64889113	-1059.95793246	-943.34684145	-779.41679954	-632.43555633	-651.85801622	-492.20832948	-396.86201346	The teenager confided in the therapist because she seemed trustworthy.	-1907.88328914	-1621.42048584	-1486.33286569	-1323.23939081	-1188.49728878	-1072.12165929	-1066.90115032	-948.42015923	-779.54306795	-636.47051041	-655.38597801	-496.22189214	-411.71460988	7.26599095	-1.42203481	6.44507672	5.85299890	7.90806209	9.47276816	6.94321786	5.07331777	0.12626842	4.03495408	3.52796179	4.01356266	14.85259642
The teenager confided in the therapist because he was seeking emotional support.	-1637.69256867	-1532.32326781	-1379.57451483	-1231.73253583	-1118.37434913	-1028.88478708	-1031.82255631	-930.21284975	-780.32902870	-624.91897460	-679.37009228	-581.77620173	-462.88182937	The teenager confided in the therapist because she was seeking emotional support.	-1644.43956027	-1535.74555603	-1390.77001244	-1241.03420723	-1123.56867646	-1033.78103629	-1033.47748428	-928.49218165	-774.29352452	-617.75120038	-678.26650572	-582.84841123	-481.21071721	6.74699159	3.42228821	11.19549761	9.30167140	5.19432733	4.89624921	1.65492797	-1.72066810	-6.03550418	-7.16777422	-1.10358656	1.07220950	18.32888784
The undergraduate presented the administrator with a petition that he had organized.	-1170.44706564	-1310.28646370	-1201.12338381	-1027.99904627	-980.73950792	-932.51968903	-970.40077018	-912.19788875	-801.01633990	-693.42460420	-733.45393668	-633.14036400	-404.35367099	The undergraduate presented the administrator with a petition that she had organized.	-1178.31855583	-1309.65885573	-1207.51155116	-1037.00549873	-987.31406853	-936.74496726	-972.21912208	-918.23039140	-807.65702352	-698.09642730	-730.43049690	-630.69635101	-414.56821921	7.87149019	-0.62760797	6.38816735	9.00645246	6.57456060	4.22527822	1.81835190	6.03250266	6.64068362	4.67182310	-3.02343979	-2.44401298	10.21454823
The undergraduate presented the administrator with a petition that he had been unaware of.	-1044.80886209	-1137.43646167	-1039.71539171	-934.38046772	-925.32383922	-894.53105269	-956.42901036	-915.26273079	-791.88381758	-682.30357567	-709.95793237	-607.80510746	-385.35203007	The undergraduate presented the administrator with a petition that she had been unaware of.	-1051.55585368	-1138.11256811	-1047.04506439	-939.02018751	-927.86703884	-901.45838121	-960.88007319	-920.67863021	-797.00233489	-687.39550574	-707.65784017	-604.96114555	-399.79450989	6.74699159	0.67610643	7.32967269	4.63971978	2.54319962	6.92732852	4.45106283	5.41589941	5.11851731	5.09193008	-2.30009221	-2.84396191	14.44247982
The customer asked the salesperson if he could explain the pricing of each product.	-1512.38471817	-1415.50009842	-1292.65291591	-1137.50809779	-1059.00264551	-996.85382549	-975.59932659	-909.14791868	-783.77302009	-686.57859082	-723.93863949	-627.47142524	-470.74913937	The customer asked the salesperson if she could explain the pricing of each product.	-1518.91264758	-1419.64793576	-1301.62669129	-1147.35727822	-1066.46029604	-1002.09945146	-980.65976404	-910.91060978	-786.68556848	-689.23393963	-725.89719894	-635.40113121	-486.15781183	6.52792942	4.14783735	8.97377538	9.84918044	7.45765053	5.24562597	5.06043746	1.76269110	2.91254839	2.65534881	1.95855946	7.92970597	15.40867246
The customer asked the salesperson if he was eligible for an additional discount.	-1519.59188096	-1504.56059112	-1374.16680016	-1196.62827998	-1094.50395138	-1020.22748905	-989.09314883	-901.85412428	-789.72884296	-690.93325241	-752.03865465	-677.63565246	-562.47702322	The customer asked the salesperson if she was eligible for an additional discount.	-1526.58609105	-1509.61681450	-1380.82966870	-1204.34406648	-1101.42399651	-1027.64069670	-995.42313589	-908.36207885	-796.05264961	-694.26744277	-755.82780584	-681.39251658	-592.98924204	6.99421009	5.05622338	6.66286854	7.71578650	6.92004513	7.41320765	6.32998706	6.50795457	6.32380665	3.33419035	3.78915120	3.75686412	30.51221882
The visitor asked the receptionist if he needed to sign in.	-1031.92567079	-1119.19522017	-1075.40442087	-993.05431932	-1035.07335248	-1006.34482189	-985.49402837	-899.76940938	-766.15497991	-661.87288691	-710.53272316	-592.23612229	-524.72833282	The visitor asked the receptionist if she needed to sign in.	-1040.55063849	-1118.75639090	-1080.89662144	-1003.08722841	-1037.24868284	-1000.62076320	-989.83053683	-903.41223909	-772.27686138	-663.06251871	-707.58649908	-603.12064382	-543.01187950	8.62496770	-0.43882928	5.49220057	10.03290910	2.17533036	-5.72405868	4.33650846	3.64282971	6.12188147	1.18963180	-2.94622408	10.88452153	18.28354668
The visitor asked the receptionist if he could estimate how long the wait would be.	-914.82835893	-1020.93224484	-1025.33817611	-950.48634140	-993.12008341	-949.31026213	-937.71190744	-894.36040253	-781.20054183	-693.84502442	-731.66664848	-626.68423659	-522.07586851	The visitor asked the receptionist if she could estimate how long the wait would be.	-921.15333524	-1022.47198163	-1028.94476292	-961.21074027	-999.42384719	-948.72206776	-942.60424407	-896.15672918	-785.12215007	-700.18272330	-741.75861300	-649.21638456	-534.16597879	6.32497631	1.53973678	3.60658682	10.72439887	6.30376378	-0.58819438	4.89233663	1.79632665	3.92160824	6.33769888	10.09196453	22.53214796	12.09011028
The librarian helped the child pick out a book because he did not know what to read.	-925.88585579	-1096.93841854	-1063.47136908	-1022.27845188	-972.70427674	-881.44559254	-872.51624712	-827.41392018	-734.01659374	-663.12797158	-712.98645038	-632.19050690	-496.46983600	The librarian helped the child pick out a book because she did not know what to read.	-931.46691288	-1098.31217250	-1066.03092976	-1026.94370929	-977.96028090	-885.60282231	-872.56718831	-829.62194901	-737.37555446	-662.22564776	-701.84009215	-628.23244913	-497.92674878	5.58105709	1.37375396	2.55956068	4.66525741	5.25600416	4.15722978	0.05094118	2.20802883	3.35896072	-0.90232382	-11.14635823	-3.95805777	1.45691278
The librarian helped the child pick out a book because he liked to encourage reading.	-1374.26650257	-1453.20196392	-1318.59375529	-1210.43370870	-1081.37205926	-981.45816572	-941.57972811	-866.66829155	-778.82625362	-683.26471932	-734.49684766	-637.53252325	-496.51735622	The librarian helped the child pick out a book because she liked to encourage reading.	-1380.59170061	-1452.43465030	-1325.69429915	-1216.12821998	-1089.15963562	-984.89396963	-939.97173348	-866.92673020	-778.93514811	-684.68173403	-734.82816580	-643.56303514	-508.26335868	6.32519804	-0.76731362	7.10054387	5.69451129	7.78757636	3.43580391	-1.60799463	0.25843865	0.10889449	1.41701470	0.33131814	6.03051189	11.74600246
The advisor met with the advisee because he wanted to get advice about job applications.	-1385.25340188	-1445.26494636	-1302.01853998	-1178.58664164	-1099.25303076	-1009.27620653	-974.72823810	-871.21387626	-779.37090308	-688.98610096	-714.08915830	-610.09401069	-261.50946089	The advisor met with the advisee because she wanted to get advice about job applications.	-1391.21847196	-1446.96251298	-1308.71129348	-1181.12146667	-1095.57945625	-1005.27694867	-968.45729622	-865.72851409	-777.20272536	-687.15895296	-716.55686275	-617.54456512	-276.75288965	5.96507008	1.69756663	6.69275349	2.53482503	-3.67357450	-3.99925786	-6.27094188	-5.48536217	-2.16817773	-1.82714800	2.46770446	7.45055442	15.24342877
The advisor met with the advisee because he wanted to give advice about job applications.	-1427.88038532	-1485.33749360	-1332.70086413	-1214.66560569	-1128.51769477	-1033.57107304	-996.79094349	-888.30583370	-788.84410997	-693.27388114	-719.91004901	-611.20843120	-250.45670562	The advisor met with the advisee because she wanted to give advice about job applications.	-1433.84545541	-1487.83845406	-1340.19504845	-1217.63487758	-1126.27836720	-1030.72275691	-991.21517574	-883.05422092	-787.13909129	-692.44137127	-723.25219561	-619.62866375	-265.95468957	5.96507008	2.50096046	7.49418432	2.96927189	-2.23932757	-2.84831613	-5.57576775	-5.25161278	-1.70501868	-0.83250987	3.34214660	8.42023255	15.49798396
The pharmacist told the patient that he should take the pills with food.	-1637.37206081	-1552.36563857	-1390.96383482	-1266.71906883	-1163.52561050	-1117.27701015	-1063.77373150	-955.82229901	-815.92799116	-701.64364068	-729.93570814	-654.48992437	-556.93096019	The pharmacist told the patient that she should take the pills with food.	-1643.27567845	-1551.82804092	-1387.97815538	-1270.10893193	-1164.86019585	-1116.84250775	-1066.83890564	-953.69661387	-814.90925446	-699.26939421	-725.93996958	-655.72363611	-573.34881919	5.90361764	-0.53759765	-2.98567944	3.38986310	1.33458535	-0.43450240	3.06517414	-2.12568514	-1.01873670	-2.37424647	-3.99573855	1.23371174	16.41785900
The pharmacist told the patient that he recommended taking the pills with food.	-1873.78376028	-1690.45323070	-1488.49561127	-1351.64458022	-1233.19882835	-1157.83977198	-1103.07982321	-984.55472059	-848.68299639	-705.78575986	-738.73878679	-654.43111288	-540.70168140	The pharmacist told the patient that she recommended taking the pills with food.	-1879.68737792	-1691.59328808	-1489.25496203	-1353.95705644	-1234.56969537	-1161.57060194	-1103.62299691	-977.88336472	-842.79006877	-704.01582421	-735.19870221	-653.38129207	-556.08338452	5.90361764	1.14005738	0.75935076	2.31247621	1.37086701	3.73082996	0.54317370	-6.67135586	-5.89292762	-1.76993565	-3.54008458	-1.04982082	15.38170312
The janitor warned the child not to step on the wet floor, otherwise he might fall and get hurt.	-1440.25670719	-1485.78919930	-1404.04923659	-1283.91465867	-1139.01856418	-1066.89329885	-1043.01188692	-968.25099623	-856.92785349	-761.71318189	-795.73369866	-689.60115655	-628.85807112	The janitor warned the child not to step on the wet floor, otherwise she might fall and get hurt.	-1444.84737115	-1484.04856161	-1405.11228262	-1290.17531576	-1143.32426077	-1073.87029622	-1046.55778491	-974.78522461	-861.17996771	-759.43889574	-791.05898997	-690.36997322	-635.79468856	4.59066396	-1.74063769	1.06304602	6.26065708	4.30569659	6.97699737	3.54589798	6.53422838	4.25211422	-2.27428614	-4.67470869	0.76881666	6.93661744
The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again.	-1176.33923035	-1325.07433844	-1288.72111981	-1258.52793388	-1150.21464305	-1078.63075832	-1042.69154342	-987.76833081	-875.58974576	-785.67482790	-794.34289361	-685.50188093	-621.74221433	The janitor warned the child not to step on the wet floor, otherwise she would have to mop it all over again.	-1180.16478365	-1325.00552304	-1289.33743088	-1264.33614180	-1153.59562116	-1084.80273296	-1046.72756342	-993.05266945	-881.47941681	-788.73569795	-793.86679959	-689.36984544	-628.12302067	3.82555330	-0.06881540	0.61631106	5.80820792	3.38097811	6.17197464	4.03602000	5.28433865	5.88967105	3.06087006	-0.47609402	3.86796451	6.38080634
The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.	-1498.81979675	-1344.29626537	-1239.69899873	-1088.17921477	-1036.02902423	-942.11659275	-930.09702232	-863.82853369	-762.08457101	-690.23374327	-691.09013852	-618.51054645	-464.27137585	The psychologist told the patient to fill out a questionnaire so she could make a preliminary assessment.	-1503.54166641	-1347.25339555	-1240.61357755	-1090.62301416	-1043.17601305	-949.39371807	-940.75333073	-870.32108260	-768.24858581	-694.32748420	-696.10671352	-624.11164015	-485.00847643	4.72186966	2.95713018	0.91457881	2.44379939	7.14698882	7.27712532	10.65630840	6.49254891	6.16401480	4.09374093	5.01657500	5.60109371	20.73710058
