sentence_m	score_m_00	score_m_01	score_m_02	score_m_03	score_m_04	score_m_05	score_m_06	score_m_07	score_m_08	score_m_09	score_m_10	score_m_11	score_m_12	sentence_f	score_f_00	score_f_01	score_f_02	score_f_03	score_f_04	score_f_05	score_f_06	score_f_07	score_f_08	score_f_09	score_f_10	score_f_11	score_f_12	score_diff_00	score_diff_01	score_diff_02	score_diff_03	score_diff_04	score_diff_05	score_diff_06	score_diff_07	score_diff_08	score_diff_09	score_diff_10	score_diff_11	score_diff_12
The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.	-1428.42313781	-1322.58214573	-1211.88062407	-1088.21812441	-1036.05574908	-948.08766459	-941.35176710	-889.67945977	-774.14235358	-687.46654357	-678.14322562	-610.68994262	-496.26714021	The psychologist told the patient to fill out a questionnaire so she could be quickly assessed.	-1433.42276451	-1323.64207952	-1215.18340575	-1091.82129066	-1044.26799368	-955.72564915	-950.93344935	-895.63845154	-779.00339026	-689.25060796	-680.84456875	-615.74806850	-521.36074922	4.99962670	1.05993379	3.30278168	3.60316624	8.21224460	7.63798456	9.58168225	5.95899177	4.86103668	1.78406439	2.70134313	5.05812588	25.09360901
The physician warned the patient that he needed to get more rest.	-1000.81140431	-1100.58216197	-1013.70999258	-931.81220962	-934.21283276	-874.05778424	-879.07774964	-823.39768410	-730.44556998	-629.61644622	-664.75356108	-582.17768755	-481.94834492	The physician warned the patient that she needed to get more rest.	-1008.71762469	-1104.62324502	-1016.04490892	-938.43037509	-940.23754493	-875.98548631	-885.52745388	-831.10389621	-737.41053370	-632.38682419	-665.92151209	-591.42287733	-522.52523351	7.90622039	4.04108305	2.33491634	6.61816548	6.02471217	1.92770206	6.44970424	7.70621211	6.96496372	2.77037796	1.16795101	9.24518977	40.57688859
The physician warned the patient that he could not safely prescribe a higher dose.	-1706.25068674	-1553.99392673	-1381.76808306	-1206.52633749	-1083.89860283	-973.39185691	-915.23720742	-841.46070304	-733.54821752	-625.80504230	-656.79780935	-567.56285081	-387.79399996	The physician warned the patient that she could not safely prescribe a higher dose.	-1712.57566305	-1560.33565810	-1379.23741207	-1210.90731504	-1087.21202349	-974.08809190	-920.06538404	-842.16462686	-734.45014645	-624.60863999	-653.33847790	-571.15016884	-428.70568984	6.32497631	6.34173138	-2.53067099	4.38097755	3.31342066	0.69623499	4.82817662	0.70392382	0.90192893	-1.19640231	-3.45933145	3.58731802	40.91168988
The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.	-1400.42634832	-1469.00679928	-1351.23893508	-1322.74348839	-1226.46982739	-1177.86849965	-1137.19516441	-1046.41117219	-892.87960916	-754.10952358	-787.47024247	-695.78930055	-533.21920588	The carpenter told the onlooker that she needed to stand at least thirty feet from the building site.	-1404.92434272	-1470.91060820	-1352.21433546	-1326.43678398	-1223.77185773	-1176.17337754	-1137.20293259	-1043.70373151	-888.72491192	-746.04961893	-775.07451300	-676.50538130	-532.44151684	4.49799439	1.90380892	0.97540039	3.69329559	-2.69796966	-1.69512210	0.00776819	-2.70744068	-4.15469724	-8.05990465	-12.39572946	-19.28391925	-0.77768904
The carpenter told the onlooker that he had been working on the house for three weeks.	-964.33203737	-1160.45659142	-1071.61855250	-1072.11020637	-1059.29764603	-1053.25729625	-1059.70217650	-984.28399601	-862.41517191	-743.55523307	-773.55415956	-670.76837806	-524.45955727	The carpenter told the onlooker that she had been working on the house for three weeks.	-969.30350486	-1161.14694583	-1074.54805798	-1075.49621252	-1058.60155543	-1057.45134359	-1064.42321755	-985.30229754	-859.98790569	-733.97990910	-762.05322690	-659.95073785	-541.01912991	4.97146749	0.69035441	2.92950548	3.38600615	-0.69609060	4.19404734	4.72104105	1.01830153	-2.42726622	-9.57532397	-11.50093265	-10.81764020	16.55957264
The nurse notified the patient that his shift would be ending in an hour.	-1372.32285325	-1316.05100901	-1193.03157572	-1070.95986094	-1071.67965674	-1014.43366290	-989.08838429	-930.34271447	-797.74228435	-711.64852890	-755.27822478	-655.14687889	-556.52118461	The nurse notified the patient that her shift would be ending in an hour.	-1375.18873045	-1307.50862035	-1188.92779819	-1070.46743639	-1077.00939860	-1011.27443673	-990.97551669	-930.44910797	-803.56819413	-720.24958968	-760.09235257	-670.69694060	-571.01698965	2.86587720	-8.54238866	-4.10377753	-0.49242455	5.32974187	-3.15922617	1.88713240	0.10639350	5.82590978	8.60106078	4.81412780	15.55006171	14.49580504
The nurse notified the patient that his blood would be drawn in an hour.	-1273.31096615	-1241.97157848	-1144.74401006	-1020.82431877	-1034.56407952	-956.59170878	-941.93910526	-877.34527488	-770.61652675	-675.94528521	-713.23766770	-625.33241588	-521.79129010	The nurse notified the patient that her blood would be drawn in an hour.	-1276.17684336	-1236.65518941	-1150.63216139	-1027.46095236	-1034.70588559	-949.73127788	-945.05780705	-878.08946392	-775.59835718	-681.73570140	-718.35549437	-636.76624735	-542.76652604	2.86587720	-5.31638908	5.88815133	6.63663359	0.14180607	-6.86043090	3.11870180	0.74418904	4.98183043	5.79041619	5.11782667	11.43383147	20.97523595
The investigator wanted to interview the witness in person, but he was unreachable.	-1747.40425300	-1563.03397176	-1469.67934879	-1328.70446331	-1174.84625962	-1098.27046701	-1038.05675196	-966.23427718	-822.71294694	-744.18253308	-747.36805372	-655.21440022	-572.07014891	The investigator wanted to interview the witness in person, but she was unreachable.	-1753.41954350	-1562.87586963	-1471.62123686	-1327.12524272	-1173.77098258	-1102.30090259	-1042.99013167	-969.63783234	-825.90175340	-750.87630378	-751.11597664	-663.80888900	-606.46468852	6.01529050	-0.15810213	1.94188807	-1.57922059	-1.07527704	4.03043558	4.93337971	3.40355515	3.18880646	6.69377070	3.74792292	8.59448878	34.39453961
The investigator wanted to interview the witness in person, but he was unable to get in contact.	-988.75239633	-1045.08126711	-1037.43748933	-985.99256123	-947.01186362	-907.56719371	-925.87176352	-897.15923412	-787.22672277	-709.98691118	-733.15744190	-666.73690946	-541.08845838	The investigator wanted to interview the witness in person, but she was unable to get in contact.	-994.41384622	-1045.82337111	-1042.10913737	-986.63909945	-944.98816210	-910.23648573	-927.49316368	-897.99181560	-786.53721521	-708.80352561	-730.26032404	-662.07676216	-552.11960767	5.66144989	0.74210401	4.67164803	0.64653822	-2.02370152	2.66929202	1.62140015	0.83258148	-0.68950756	-1.18338556	-2.89711785	-4.66014729	11.03114929
The customer left the bartender a big tip because he was feeling generous.	-1433.52234022	-1402.20696666	-1331.06114340	-1187.08083418	-1128.47205624	-1028.27250115	-957.73694420	-866.62870415	-768.16621621	-656.66892207	-684.86742609	-570.13140148	-372.72758429	The customer left the bartender a big tip because she was feeling generous.	-1440.78833117	-1399.62508065	-1337.34530696	-1199.55257804	-1132.94351540	-1033.42758200	-961.67380248	-867.65431822	-773.46501040	-667.54337707	-695.31024404	-587.11013781	-393.40926529	7.26599095	-2.58188601	6.28416357	12.47174386	4.47145916	5.15508085	3.93685828	1.02561407	5.29879419	10.87445500	10.44281795	16.97873633	20.68168100
The customer left the bartender a big tip because he had made the drink very strong.	-1165.51370799	-1253.08986383	-1209.15226228	-1101.99665832	-1076.24459872	-976.85434007	-914.28065436	-833.65037941	-750.95727908	-660.48598702	-699.96601493	-590.75136298	-355.42280129	The customer left the bartender a big tip because she had made the drink very strong.	-1171.41732563	-1254.13634202	-1213.82316446	-1111.47912643	-1081.06158976	-982.14517244	-919.82204144	-836.76277929	-756.59882784	-669.75869977	-708.47911789	-604.52976484	-365.97914875	5.90361764	1.04647819	4.67090219	9.48246812	4.81699103	5.29083237	5.54138709	3.11239988	5.64154876	9.27271275	8.51310296	13.77840186	10.55634746
The patient was referred to the specialist because he had a rare skin condition.	-1329.26395373	-1311.61172967	-1236.47237111	-1116.22097733	-1079.76741124	-944.38667142	-951.00635361	-840.16279526	-735.64558738	-642.38693530	-694.59293153	-635.79585867	-448.95789392	The patient was referred to the specialist because she had a rare skin condition.	-1336.08117668	-1314.75921489	-1242.86130149	-1117.80239230	-1077.57581941	-948.65305015	-954.12122252	-838.09202548	-733.70282408	-642.46911361	-694.00612611	-635.52688695	-481.77883117	6.81722295	3.14748523	6.38893038	1.58141497	-2.19159183	4.26637872	3.11486892	-2.07076978	-1.94276330	0.08217831	-0.58680542	-0.26897172	32.82093725
The patient was referred to the specialist because he had knowledge of rare skin conditions.	-1383.70152393	-1385.50026141	-1283.04363817	-1140.52536723	-1046.12621441	-920.30806574	-915.98497259	-821.04667487	-710.97538421	-618.55251452	-659.95091453	-596.28044838	-359.19592233	The patient was referred to the specialist because she had knowledge of rare skin conditions.	-1390.06426535	-1389.77109134	-1292.26957057	-1142.49265401	-1044.79322856	-921.26525512	-917.41767273	-818.76306229	-711.32981994	-621.29656388	-660.94401502	-599.62564683	-377.20693144	6.36274142	4.27082994	9.22593240	1.96728678	-1.33298585	0.95718938	1.43270014	-2.28361258	0.35443573	2.74404936	0.99310049	3.34519845	18.01100911
The electrician warned the homeowner not to try rewiring anything on his own.	-1851.71229081	-1793.44001673	-1628.74918141	-1513.01913830	-1387.03209547	-1260.64519621	-1194.63856068	-1066.66124691	-894.20325164	-771.63835403	-778.12119669	-679.64301387	-658.08120922	The electrician warned the homeowner not to try rewiring anything on her own.	-1854.02968979	-1791.70898128	-1631.70416130	-1523.87807300	-1390.26464620	-1258.26916426	-1192.31212599	-1067.12966214	-894.29854763	-776.89837293	-774.96578433	-668.07854597	-639.39308379	2.31739898	-1.73103545	2.95497988	10.85893470	3.23255073	-2.37603195	-2.32643470	0.46841523	0.09529599	5.26001890	-3.15541236	-11.56446790	-18.68812542
The electrician warned the homeowner that he might need an extra day to finish rewiring the house.	-1722.85604962	-1686.17145220	-1557.47375824	-1398.58096041	-1271.04442910	-1158.97893555	-1094.91354672	-987.51335186	-833.79673497	-737.83876952	-784.08372461	-713.38512945	-672.08680708	The electrician warned the homeowner that she might need an extra day to finish rewiring the house.	-1727.14958972	-1687.26307457	-1556.24653199	-1403.99233563	-1271.18397892	-1159.99102471	-1097.35194553	-987.13031086	-835.51420510	-739.59134470	-777.01012578	-698.55570363	-664.84438826	4.29354010	1.09162237	-1.22722625	5.41137522	0.13954981	1.01208916	2.43839882	-0.38304100	1.71747013	1.75257518	-7.07359883	-14.82942582	-7.24241882
The officer arrested the protester even though he was not on duty.	-1139.98004294	-1296.78934494	-1189.30108943	-1129.57328391	-1087.10370700	-979.78114608	-958.38201862	-880.95642351	-750.39209502	-608.74602614	-665.21197021	-535.08511529	-421.92115460	The officer arrested the protester even though she was not on duty.	-1147.32166766	-1298.90604763	-1196.63564506	-1132.27939253	-1083.51381598	-984.84924689	-956.82042485	-876.31898508	-749.50698763	-618.62932737	-676.58423202	-537.86236473	-416.44950914	7.34162472	2.11670269	7.33455563	2.70610862	-3.58989102	5.06810081	-1.56159378	-4.63743843	-0.88510739	9.88330123	11.37226182	2.77724943	-5.47164546
The officer arrested the protester even though he was not violent.	-1202.81043489	-1271.82482706	-1170.16914794	-1082.99964041	-1052.90601184	-939.62053761	-934.43579490	-865.12651715	-757.11208425	-616.14093891	-657.15422410	-540.17300838	-390.54271509	The officer arrested the protester even though she was not violent.	-1210.76386167	-1273.29528276	-1178.55958422	-1088.30867010	-1048.28662766	-941.59789254	-932.24512867	-860.10374406	-754.54172674	-622.92884985	-655.71386246	-528.95386157	-369.41251661	7.95342678	1.47045570	8.39043627	5.30902969	-4.61938419	1.97735494	-2.19066623	-5.02277309	-2.57035751	6.78791095	-1.44036164	-11.21914682	-21.13019848
The pathologist obtained tissue samples from the victim to look at under his microscope.	-1577.14786658	-1497.39117199	-1408.49459869	-1272.43576769	-1152.18306962	-1035.50970770	-1027.33504986	-979.22522474	-891.25227636	-784.01184848	-753.10576681	-675.74625702	-569.59069427	The pathologist obtained tissue samples from the victim to look at under her microscope.	-1579.33845334	-1499.05363641	-1423.63494908	-1284.78272294	-1162.13408915	-1039.99536879	-1023.33707580	-972.08482087	-885.09862583	-787.55003478	-756.29453654	-681.37468169	-586.12920384	2.19058675	1.66246441	15.14035039	12.34695525	9.95101953	4.48566110	-3.99797407	-7.14040387	-6.15365053	3.53818630	3.18876973	5.62842468	16.53850957
The pathologist obtained tissue samples from the victim to determine the cause of his death.	-1555.31094890	-1453.84927414	-1329.45390126	-1189.76216690	-1081.81348876	-980.11607991	-962.76577409	-895.57438161	-787.63405333	-703.24536463	-746.96931614	-701.84995951	-600.32674956	The pathologist obtained tissue samples from the victim to determine the cause of her death.	-1557.74267719	-1458.36638175	-1341.91571314	-1198.81758781	-1084.48339635	-978.25592375	-961.64402680	-892.99079303	-786.13484478	-704.70094529	-741.54605426	-699.49721305	-611.91887764	2.43172829	4.51710761	12.46181188	9.05542091	2.66990760	-1.86015616	-1.12174729	-2.58358858	-1.49920855	1.45558066	-5.42326188	-2.35274646	11.59212808
The student asked the teacher if he could get an extension on the assignment.	-958.52590633	-1107.07466456	-1036.89626640	-910.36676589	-910.92442646	-867.64515124	-877.55339175	-834.41448495	-732.37442551	-662.35493298	-709.96718737	-602.70303597	-351.40407289	The student asked the teacher if she could get an extension on the assignment.	-965.30266667	-1109.70894520	-1043.07411545	-913.36119777	-913.85879267	-868.44004577	-884.55863374	-838.86805363	-733.61293669	-663.43105846	-710.95778356	-609.95257817	-387.23450384	6.77676033	2.63428064	6.17784905	2.99443188	2.93436621	0.79489454	7.00524199	4.45356868	1.23851118	1.07612548	0.99059620	7.24954219	35.83043096
The student asked the teacher if he could grant an extension on the assignment.	-1258.10020508	-1344.94514223	-1202.20888640	-1020.21870166	-995.36289289	-929.24092988	-930.75484162	-870.74429556	-777.46621584	-692.85867740	-734.96183829	-619.05272488	-352.24005687	The student asked the teacher if she could grant an extension on the assignment.	-1264.87696541	-1345.70192509	-1210.07573764	-1026.24395258	-1000.64516355	-932.35361121	-939.68512074	-878.11707121	-780.77983010	-696.19587862	-736.23431232	-626.25292279	-395.64855545	6.77676033	0.75678286	7.86685124	6.02525092	5.28227066	3.11268132	8.93027913	7.37277566	3.31361425	3.33720122	1.27247403	7.20019790	43.40849858
The lawyer cross-examined the witness until he broke under pressure.	-2125.67149796	-2017.36177779	-1905.60523098	-1648.32604181	-1481.46896417	-1280.51607427	-1204.00917971	-1056.47533116	-885.85334033	-766.82507627	-758.20496028	-657.84060778	-484.34395785	The lawyer cross-examined the witness until she broke under pressure.	-2134.34796353	-2024.07249458	-1915.16430115	-1653.09686920	-1481.25144333	-1285.07653910	-1204.27813796	-1053.06630451	-883.02706323	-763.37903922	-755.80160032	-650.85218564	-498.97372491	8.67646558	6.71071679	9.55907017	4.77082739	-0.21752084	4.56046483	0.26895825	-3.40902665	-2.82627710	-3.44603705	-2.40335996	-6.98842214	14.62976706
The lawyer cross-examined the witness until he was finished asking questions.	-1781.49519468	-1740.86646803	-1620.12483810	-1406.58403706	-1292.49665552	-1146.54350539	-1083.79809815	-986.48136790	-832.60962118	-732.59274124	-729.79702073	-642.49647183	-501.04661960	The lawyer cross-examined the witness until she was finished asking questions.	-1789.44862146	-1745.10234069	-1624.10000568	-1406.41287102	-1290.51746159	-1149.58514154	-1087.39139547	-988.12952089	-836.40653045	-734.88500625	-735.61844679	-649.87292819	-520.24703796	7.95342678	4.23587266	3.97516758	-0.17116604	-1.97919394	3.04163616	3.59329732	1.64815299	3.79690927	2.29226501	5.82142607	7.37645636	19.20041836
The planner spoke with the resident who said that his entire community did not want an aiport nearby.	-1438.10718245	-1505.89674073	-1461.03004433	-1287.68732976	-1154.08334976	-1075.17503331	-1041.98668727	-927.08684602	-801.75833025	-664.79042586	-715.01771422	-639.32973652	-393.18540906	The planner spoke with the resident who said that her entire community did not want an aiport nearby.	-1440.22714444	-1501.95245970	-1465.37070828	-1292.33833486	-1157.08558009	-1072.53848564	-1036.15562507	-921.83121984	-796.93716773	-666.09237979	-716.89136890	-641.76956411	-408.75713498	2.11996199	-3.94428103	4.34066395	4.65100510	3.00223033	-2.63654767	-5.83106220	-5.25562617	-4.82116252	1.30195394	1.87365469	2.43982759	15.57172592
The planner spoke with the resident who said that his proposal to build a new airport would be met with fierce opposition.	-1319.68831085	-1402.43596033	-1347.07663700	-1181.18384592	-1088.42138411	-1068.29755404	-1058.93965676	-984.73369600	-855.43429840	-739.96529227	-799.98292330	-712.20327106	-477.08275358	The planner spoke with the resident who said that her proposal to build a new airport would be met with fierce opposition.	-1321.51918711	-1400.62131154	-1349.64520364	-1179.29679313	-1086.08494938	-1067.94177546	-1055.95455379	-980.90597457	-857.88705592	-750.71927552	-806.78118546	-717.53175779	-492.77667599	1.83087626	-1.81464879	2.56856664	-1.88705279	-2.33643473	-0.35577858	-2.98510297	-3.82772143	2.45275752	10.75398325	6.79826216	5.32848673	15.69392242
The practitioner made a house call for the patient because he felt gravely ill.	-1360.60442826	-1445.03867324	-1356.28869086	-1233.14034973	-1134.31973580	-999.74617714	-974.84132196	-859.57601136	-740.13467487	-651.13306322	-678.53988089	-599.48670263	-490.84746554	The practitioner made a house call for the patient because she felt gravely ill.	-1367.38142616	-1446.02110529	-1356.87813719	-1234.04938881	-1133.33770017	-1001.75866611	-975.76458558	-859.08673827	-738.67645221	-646.79039243	-669.03552335	-589.90546240	-527.53987300	6.77699790	0.98243205	0.58944633	0.90903908	-0.98203563	2.01248898	0.92326362	-0.48927309	-1.45822266	-4.34267078	-9.50435754	-9.58124024	36.69240746
The practitioner made a house call for the patient because he felt a sense of obligation.	-1069.70052751	-1217.16489145	-1187.69230031	-1090.25838623	-1034.76950109	-944.29056298	-937.88464961	-853.97129592	-729.68950405	-614.07435671	-650.44719030	-569.78939915	-373.39539395	The practitioner made a house call for the patient because she felt a sense of obligation.	-1075.63040067	-1219.71539896	-1191.36221814	-1095.11372255	-1038.10357636	-950.06916458	-940.93699487	-854.95200989	-730.73889986	-615.85570948	-652.19739605	-562.87684431	-387.13365538	5.92987316	2.55050751	3.66991783	4.85533631	3.33407527	5.77860160	3.05234525	0.98071398	1.04939580	1.78135277	1.75020576	-6.91255484	13.73826143
The homeowner called the plumber to get an estimate for his services.	-1744.77100432	-1713.45562957	-1561.69112148	-1388.90807940	-1256.03194494	-1146.11259563	-1104.40494752	-995.11496393	-881.12581128	-776.40514988	-790.89567327	-698.49677223	-564.79738857	The homeowner called the plumber to get an estimate for her services.	-1746.96159107	-1715.15882649	-1578.23856735	-1394.80691751	-1253.21750067	-1148.68075540	-1109.65916915	-993.00564182	-878.19934874	-775.38217139	-789.06805778	-697.24385063	-570.50053279	2.19058675	1.70319692	16.54744586	5.89883811	-2.81444427	2.56815977	5.25422163	-2.10932211	-2.92646254	-1.02297849	-1.82761549	-1.25292160	5.70314422
The homeowner called the plumber to get an estimate for repairing his broken pipes.	-1986.74562021	-1864.03559903	-1665.24275953	-1409.26066093	-1230.99324274	-1114.44667898	-1082.43907857	-979.06545789	-861.13834472	-772.15730190	-797.62579451	-697.79513311	-577.94587456	The homeowner called the plumber to get an estimate for repairing her broken pipes.	-1989.03430566	-1865.94473695	-1674.28692966	-1418.30804900	-1237.14251219	-1120.40167352	-1086.23440098	-977.00989282	-860.31998923	-773.43515949	-794.38708127	-694.35179232	-589.17928283	2.28868545	1.90913792	9.04417013	9.04738807	6.14926945	5.95499455	3.79532240	-2.05556507	-0.81835550	1.27785759	-3.23871323	-3.44334080	11.23340828
The instructor encouraged the student to attend his help sessions.	-1819.64053590	-1711.60691992	-1533.54417586	-1333.25948692	-1214.33844440	-1069.23493079	-984.51189233	-875.23520267	-777.75492203	-631.92878453	-651.59931675	-543.96615094	-283.83586622	The instructor encouraged the student to attend her help sessions.	-1823.58537917	-1706.94858166	-1547.51446976	-1349.26462665	-1225.43861311	-1078.12888945	-993.74330894	-876.80690154	-777.08547276	-634.18836569	-652.81257486	-537.30950804	-324.04285116	3.94484326	-4.65833826	13.97029390	16.00513973	11.10016871	8.89395866	9.23141661	1.57169887	-0.66944927	2.25958116	1.21325811	-6.65664291	40.20698494
The instructor encouraged the student to pursue his dreams.	-1630.53321809	-1571.88258704	-1359.62462136	-1167.51633672	-1071.52611640	-958.04404743	-908.72092617	-856.23351552	-747.37631748	-610.65884184	-670.68823106	-561.73951123	-447.18650839	The instructor encouraged the student to pursue her dreams.	-1634.91637727	-1573.88652610	-1372.93184376	-1173.53105819	-1072.97937907	-959.01020223	-919.25135456	-860.51853494	-752.63211866	-613.45944232	-667.54790928	-553.74249951	-468.12247769	4.38315918	2.00393906	13.30722240	6.01472147	1.45326266	0.96615481	10.53042839	4.28501942	5.25580118	2.80060048	-3.14032178	-7.99701172	20.93596930
The surgeon operated on the child with great care; his tumor had grown over time.	-1244.40953594	-1445.84534926	-1384.47938571	-1306.61486143	-1222.07342879	-1102.15969410	-1099.30160868	-1014.88420152	-842.64011465	-730.24926710	-776.28967957	-696.32716835	-667.33870973	The surgeon operated on the child with great care; her tumor had grown over time.	-1246.89745107	-1448.61280196	-1396.48670846	-1315.56030503	-1229.34140280	-1108.23417593	-1102.23192750	-1015.52022341	-841.20985268	-728.04453247	-777.01042684	-701.89166856	-672.59262698	2.48791514	2.76745270	12.00732275	8.94544360	7.26797401	6.07448184	2.93031882	0.63602188	-1.43026197	-2.20473463	0.72074727	5.56450021	5.25391724
The surgeon operated on the child with great care; his affection had grown over time.	-1264.39104830	-1434.99817284	-1393.77271192	-1297.99724951	-1214.88577614	-1094.95770209	-1086.71199026	-1011.43176934	-835.69955063	-694.23700259	-737.25984148	-653.50456926	-567.71065049	The surgeon operated on the child with great care; her affection had grown over time.	-1266.87896343	-1437.91219599	-1399.85517080	-1303.11895210	-1216.09767392	-1092.21459980	-1087.88024284	-1013.87930971	-839.43286434	-701.09973305	-737.69997282	-658.23922937	-589.97437414	2.48791514	2.91402315	6.08245888	5.12170259	1.21189778	-2.74310228	1.16825258	2.44754037	3.73331371	6.86273046	0.44013134	4.73466011	22.26372365
The veterinarian informed the owner that his cat had developed diabetes.	-2343.93059258	-2026.04056910	-1719.30426569	-1486.63274858	-1328.15135642	-1158.24880588	-1115.07210126	-998.22715383	-830.70389333	-708.29726620	-788.16213616	-724.86945718	-693.22358873	The veterinarian informed the owner that her cat had developed diabetes.	-2347.28867831	-2026.16544308	-1734.41786530	-1497.06605726	-1339.62125172	-1167.23870757	-1127.11284770	-1001.35476869	-838.17766890	-719.83786986	-797.70556190	-738.12373421	-719.59284304	3.35808573	0.12487397	15.11359961	10.43330868	11.46989530	8.98990169	12.04074644	3.12761486	7.47377557	11.54060366	9.54342574	13.25427703	26.36925431
The veterinarian informed the owner that he could admit Mittens for an emergency visit.	-2438.33228263	-2074.18455503	-1782.17964682	-1549.83432869	-1353.72491823	-1191.74747244	-1115.26253416	-988.56543302	-849.70234378	-724.47890207	-794.49332782	-730.32514838	-620.40207849	The veterinarian informed the owner that she could admit Mittens for an emergency visit.	-2443.94646623	-2077.72009858	-1793.13813549	-1562.30576516	-1360.10614054	-1196.38299854	-1121.35464888	-987.44379249	-847.04815833	-721.92884647	-784.57811121	-717.09706393	-616.61248943	5.61418361	3.53554355	10.95848867	12.47143647	6.38122232	4.63552610	6.09211472	-1.12164053	-2.65418545	-2.55005560	-9.91521661	-13.22808445	-3.78958907
The paramedic performed CPR on the passenger even though he knew it was too late.	-1602.57785063	-1635.39244984	-1543.17275792	-1379.42051968	-1277.46387608	-1181.50932762	-1159.97035939	-1042.12753499	-904.19608721	-783.76722550	-829.16489428	-728.45166315	-741.19100369	The paramedic performed CPR on the passenger even though she knew it was too late.	-1607.29972029	-1640.81260619	-1548.41108141	-1382.92430260	-1277.41332716	-1184.68050629	-1159.02109332	-1043.89124407	-908.87671556	-789.77854060	-835.39507866	-732.82142269	-756.31794093	4.72186966	5.42015635	5.23832349	3.50378292	-0.05054891	3.17117867	-0.94926608	1.76370908	4.68062835	6.01131509	6.23018438	4.36975954	15.12693724
The paramedic performed CPR on the passenger even though he was already dead.	-1853.47480713	-1874.72451499	-1734.14447225	-1520.44340896	-1377.15284175	-1253.58373856	-1190.34370521	-1057.26419984	-908.54476998	-773.77358263	-810.10506473	-735.85299780	-728.08206531	The paramedic performed CPR on the passenger even though she was already dead.	-1858.78691050	-1882.84593258	-1752.02496798	-1531.81281055	-1385.88798790	-1262.76134992	-1193.54225068	-1055.64258507	-908.90922801	-773.03578930	-811.95699881	-740.11233494	-735.78438457	5.31210337	8.12141759	17.88049572	11.36940159	8.73514616	9.17761136	3.19854547	-1.62161477	0.36445803	-0.73779333	1.85193408	4.25933714	7.70231927
The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated.	-1372.92566549	-1310.59166186	-1211.12833173	-1097.76788564	-1059.53189617	-976.88359886	-987.31609724	-962.58840383	-857.87481542	-790.85545262	-812.63467650	-748.11841508	-668.44675623	The examiner inspected the body of the victim to determine a cause of death, but was unable to because she was too badly mutilated.	-1376.53657830	-1310.55522950	-1212.10685292	-1097.27808214	-1058.31319281	-977.95430066	-988.93998108	-965.40500792	-858.77037116	-791.25649957	-808.67361520	-747.07253819	-668.29558672	3.61091281	-0.03643236	0.97852119	-0.48980350	-1.21870336	1.07070180	1.62388384	2.81660409	0.89555574	0.40104695	-3.96106130	-1.04587690	-0.15116951
The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent.	-1560.26769655	-1402.83960308	-1297.26772545	-1188.49050234	-1108.11021494	-1025.47120648	-1005.38090526	-957.05239201	-858.29421569	-787.77727753	-810.40014624	-730.66006631	-681.37258289	The examiner inspected the body of the victim to determine a cause of death, but was unable to because she was too incompetent.	-1563.87860936	-1402.96451288	-1298.10291938	-1187.48320214	-1106.90691155	-1026.22074378	-1005.84401117	-961.31361888	-860.05824383	-789.25321652	-807.36919812	-728.15736540	-685.10311482	3.61091281	0.12490981	0.83519393	-1.00730020	-1.20330338	0.74953730	0.46310591	4.26122687	1.76402813	1.47593899	-3.03094813	-2.50270091	3.73053193
The chemist told the visitor that he would need to put on safety glasses before entering the laboratory.	-1394.59340261	-1397.92257718	-1236.98031759	-1106.33790084	-1049.49461726	-978.12411638	-959.78742522	-897.08806719	-761.08819332	-658.94475025	-724.12329826	-655.02008334	-479.31225655	The chemist told the visitor that she would need to put on safety glasses before entering the laboratory.	-1399.86421621	-1395.49314778	-1236.31267625	-1108.33610226	-1053.41748577	-981.58302136	-963.79772440	-896.08031396	-761.49929345	-654.57858575	-719.05756158	-646.48493842	-489.38046470	5.27081359	-2.42942940	-0.66764134	1.99820142	3.92286851	3.45890498	4.01029918	-1.00775322	0.41110014	-4.36616450	-5.06573667	-8.53514492	10.06820815
